postalcode,region
1011,Centrum
1012,Centrum
1015,Centrum
1016,Centrum
1017,Centrum
1018,Centrum
1040,Westpoort
1041,Westpoort
1042,Westpoort
1043,Westpoort
1044,Westpoort
1045,Westpoort
1046,Westpoort
1047,Westpoort
1048,Westpoort
1049,Westpoort
1013,West
1014,West
1050,West
1051,West
1052,West
1053,West
1054,West
1055,West
1056,West
1057,West
1060,Nieuw-West
1061,Nieuw-West
1062,Nieuw-West
1063,Nieuw-West
1064,Nieuw-West
1065,Nieuw-West
1066,Nieuw-West
1067,Nieuw-West
1068,Nieuw-West
1069,Nieuw-West
1058,Zuid
1059,Zuid
1070,Zuid
1071,Zuid
1072,Zuid
1073,Zuid
1074,Zuid
1075,Zuid
1076,Zuid
1077,Zuid
1078,Zuid
1079,Zuid
1080,Zuid
1081,Zuid
1082,Zuid
1083,Zuid
1019,Oost
1806,Oost
1807,Oost
1808,Oost
1809,Oost
1810,Oost
1811,Oost
1812,Oost
1813,Oost
1814,Oost
1815,Oost
1816,Oost
1817,Oost
1818,Oost
1819,Oost
1086,Oost
1087,Oost
1088,Oost
1089,Oost
1090,Oost
1091,Oost
1092,Oost
1093,Oost
1094,Oost
1095,Oost
1096,Oost
1097,Oost
1098,Oost
1099,Oost
1020,Noord
1021,Noord
1022,Noord
1023,Noord
1024,Noord
1025,Noord
1026,Noord
1027,Noord
1028,Noord
1029,Noord
1030,Noord
1031,Noord
1032,Noord
1033,Noord
1034,Noord
1035,Noord
1036,Noord
1037,Noord
1038,Noord
1039,Noord
1100,Zuidoost
1101,Zuidoost
1102,Zuidoost
1103,Zuidoost
1104,Zuidoost
1105,Zuidoost
1106,Zuidoost
1107,Zuidoost
1108,Zuidoost
1109,Zuidoost
1180,Amstelveen
1181,Amstelveen
1182,Amstelveen
1183,Amstelveen
1184,Amstelveen
1185,Amstelveen
1186,Amstelveen
1187,Amstelveen
1188,Amstelveen
1189,Amstelveen
1110,Diemen
1111,Diemen
1112,Diemen
1113,Diemen
2100,Heemstede
2101,Heemstede
2102,Heemstede
2103,Heemstede
2104,Heemstede
2105,Heemstede
2106,Heemstede
1398,Muiden
1399,Muiden
1114,Ouder amstel
1115,Ouder amstel
1190,Ouder amstel
1191,Ouder amstel
1117,Schiphol
1118,Schiphol
1119,Schiphol
0,Onbepaalde